BMP,Itens,apartamento,situacao,data_cadastro,ultimo_comentario,data_ultima_inspecao,data_atualizacao
1961872,"Estação De Trabalho, Marca Hp Elite Desk 800 G4.",,,,,,
1961904,"Monitor Hp E 223  21,5 , 1fh45aa.",,,,,,
1365171,Notebook T430 P/N 23446fp Lenovo. - Nº SÉRIE: LICD9LH,,,,,,
2100482,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100483,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2107076,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107077,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107078,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107079,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107080,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107081,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
1847499,"Frigobar, 120 L. Marca: Consul.",,,,,,
2100452,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100453,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100454,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100455,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100456,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100457,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100458,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100459,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100460,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100461,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100462,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100463,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100464,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100465,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100466,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100467,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100468,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100469,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100470,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100471,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100472,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100473,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100474,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100475,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100476,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100477,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100478,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100479,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
